sales_bedrooms,sales_month_year,sales_price,sales_zipcode,rent_bedrooms,rent_month_year,rent_zipcode,rent_inventory,rent_avg_price
1,31-03-2022,122117.08,99508,5,30-06-2025,99508,,6000
5,31-03-2022,440183.56,99508,1,01-06-2018,99508,12,847
5,31-03-2022,440183.56,99508,1,01-07-2018,99508,9,838
5,31-03-2022,440183.56,99508,1,01-08-2018,99508,13,895
5,31-03-2022,440183.56,99508,1,01-09-2018,99508,16,901
5,31-03-2022,440183.56,99508,1,01-10-2018,99508,18,887
5,31-03-2022,440183.56,99508,1,01-11-2018,99508,14,882
5,31-03-2022,440183.56,99508,1,01-12-2018,99508,23,841
5,31-03-2022,440183.56,99508,1,01-01-2019,99508,23,816
5,31-03-2022,440183.56,99508,1,01-02-2019,99508,18,857
5,31-03-2022,440183.56,99508,1,01-03-2019,99508,19,871
5,31-03-2022,440183.56,99508,1,01-04-2019,99508,21,854
5,31-03-2022,440183.56,99508,1,01-05-2019,99508,31,858
5,31-03-2022,440183.56,99508,1,01-06-2019,99508,26,889
5,31-03-2022,440183.56,99508,1,01-07-2019,99508,26,938
5,31-03-2022,440183.56,99508,1,01-08-2019,99508,25,887
5,31-03-2022,440183.56,99508,1,01-09-2019,99508,25,823
5,31-03-2022,440183.56,99508,1,01-10-2019,99508,20,809
5,31-03-2022,440183.56,99508,1,01-11-2019,99508,15,852
5,31-03-2022,440183.56,99508,1,01-12-2019,99508,15,854
5,31-03-2022,440183.56,99508,1,01-01-2020,99508,6,898
5,31-03-2022,440183.56,99508,1,01-02-2020,99508,7,924
5,31-03-2022,440183.56,99508,1,01-03-2020,99508,8,948
5,31-03-2022,440183.56,99508,1,01-04-2020,99508,7,956
5,31-03-2022,440183.56,99508,1,01-05-2020,99508,6,924
5,31-03-2022,440183.56,99508,1,01-06-2020,99508,7,881
5,31-03-2022,440183.56,99508,1,01-08-2020,99508,9,898
5,31-03-2022,440183.56,99508,1,01-09-2020,99508,6,908
5,31-03-2022,440183.56,99508,1,01-10-2020,99508,17,960
5,31-03-2022,440183.56,99508,1,01-11-2020,99508,16,1018
5,31-03-2022,440183.56,99508,1,01-12-2020,99508,9,1001
5,31-03-2022,440183.56,99508,1,01-01-2021,99508,11,938
5,31-03-2022,440183.56,99508,1,01-02-2021,99508,15,1006
5,31-03-2022,440183.56,99508,1,01-03-2021,99508,10,987
5,31-03-2022,440183.56,99508,1,01-04-2021,99508,7,1202
5,31-03-2022,440183.56,99508,1,01-07-2021,99508,6,1241
5,31-03-2022,440183.56,99508,1,01-11-2021,99508,10,1128
5,31-03-2022,440183.56,99508,1,01-12-2021,99508,8,1097
5,31-03-2022,440183.56,99508,1,01-03-2022,99508,11,1268
5,31-03-2022,440183.56,99508,1,01-05-2022,99508,8,1310
5,31-03-2022,440183.56,99508,1,01-06-2022,99508,9,1354
5,31-03-2022,440183.56,99508,1,01-07-2022,99508,13,1317
5,31-03-2022,440183.56,99508,1,01-08-2022,99508,10,1576
5,31-03-2022,440183.56,99508,1,01-09-2022,99508,14,1414
5,31-03-2022,440183.56,99508,1,01-10-2022,99508,13,1353
5,31-03-2022,440183.56,99508,1,01-11-2022,99508,20,1356
